"No.","業種","屋号","営業所所在地","営業所電話番号","申請者氏名","代表者氏名","申請者住所","申請年月日","許可年月日","初許可年月日","有効期間開始日","有効期間満了日","備考","LocName","fX","fY","iConf","iLvl"
7832,飲食店営業,鳥庵,熊本市中央区新市街1-8Kラインビル1F,355-9222,山上　孝志,,,2023年1月30日,2023年2月9日,2023年2月9日,2023年3月1日,2029年2月28日,,"熊本県/熊本市/中央区/新市街/１番/８号","130.70598","32.79995","5","8"
7833,飲食店営業,ロアジス,熊本市中央区水前寺公園4-26,213-0555,㈱ロアジス,津山　力,熊本市中央区水前寺公園4-26,2023年1月30日,2023年2月2日,2023年2月2日,2023年3月1日,2029年2月28日,,"熊本県/熊本市/中央区/水前寺公園/４番/２６号","130.73244","32.79025","5","8"
7834,飲食店営業,和食・郷土料理　和久田,熊本市中央区細工町1丁目38-1,312-0888,㈱和久田コーポレーション,和久田　貴之,熊本市中央区細工町1丁目38-1,2023年1月30日,2023年1月30日,2023年1月30日,2023年3月1日,2029年2月28日,,"熊本県/熊本市/中央区/細工町/一丁目/３８番地","130.69572","32.79711","5","7"
7835,飲食店営業,Ｇｏ−ｏｎｅ,熊本市中央区安政町2-29セントラルビル4F,,藏原　和信,,,2023年1月30日,2023年2月20日,2023年2月20日,2023年3月1日,2029年2月28日,,"熊本県/熊本市/中央区/安政町/２番/２９号","130.71011","32.80162","5","8"
7836,飲食店営業,麺処　ひばり商店,熊本市東区小峯2丁目6-46,,片山　堅太,,,2023年1月31日,2023年2月9日,2023年2月9日,2023年2月9日,2029年2月28日,,"熊本県/熊本市/東区/小峯/二丁目/６番/４６号","130.77646","32.80513","5","8"
7837,飲食店営業,お弁当のヒライ　スーパーキッド国府店,熊本市中央区国府3丁目28-31,,㈱ヒライ,平井　浩一郎,熊本市西区春日7丁目26-70,2023年1月31日,2023年2月13日,2023年2月13日,2023年2月13日,2030年2月28日,,"熊本県/熊本市/中央区/国府/三丁目/２８番/３１号","130.71855","32.78656","5","8"
7838,飲食店営業,山海処　茶山亭・西銀座,熊本市中央区新市街3-7アクアビル1F,355-7727,佐々木　奉文,,,2023年1月31日,2023年2月7日,2023年2月7日,2023年3月1日,2029年2月28日,,"熊本県/熊本市/中央区/新市街/３番/７号","130.70743","32.79985","5","8"
7839,飲食店営業,メンバーズ　フェイ,熊本市中央区下通1丁目11-15ライオンビル松藤館3F,354-5520,松村　リザ,,,2023年1月31日,2023年2月10日,2023年2月10日,2023年3月1日,2029年2月28日,,"熊本県/熊本市/中央区/下通/一丁目/１１番/１５号","130.70787","32.79987","5","8"
7840,飲食店営業,亀甲さん,熊本市西区小島6丁目9-1,329-7111,浜田醤油㈱,袁　成利,熊本市西区小島六丁目9番1号,2023年2月1日,2023年2月3日,2023年2月3日,2023年2月3日,2029年2月28日,,"熊本県/熊本市/西区/小島/六丁目/９番/１号","130.63602","32.77726","5","8"
7841,飲食店営業,Ｖｉｖａ　Ｍａｇｅｎｔａ,熊本市中央区花畑町11-9第2蘇州ビル5F-B,,ＭＡＴＳＵＭＯＴＯ　ＭＡＲＩＣＡＲ　ＣＥＢＵ,,,2023年2月2日,2023年2月3日,2023年2月3日,2023年2月3日,2029年2月28日,,"熊本県/熊本市/中央区/花畑町/１１番/９号","130.70746","32.80182","5","8"
7842,飲食店営業,イワサキエースＪＲ上熊本駅店,熊本市西区上熊本2丁目18-1,353-3355,㈱イワサキ,岩崎　一敏,熊本市中央区本山4丁目4番1号,2023年2月2日,2023年2月14日,2023年2月14日,2023年3月1日,2029年2月28日,,"熊本県/熊本市/西区/上熊本/二丁目/１８番/１号","130.69968","32.81822","5","8"
7843,飲食店営業,はなまるうどん熊本下通り店,熊本市中央区安政町1-28下川ビル2F,312-7870,㈱はなまる,前田　良博,東京都中央区日本橋箱崎町36番2号,2023年2月2日,2023年2月6日,2023年2月6日,2023年3月1日,2029年2月28日,,"熊本県/熊本市/中央区/安政町/１番/２８号","130.70940","32.80230","5","8"
7844,飲食店営業,浜勝熊本浜線バイパス店,熊本市東区画図町重富819-1,334-0180,浜勝㈱,山岡　雄二,長崎県長崎市鍛治屋町6-50,2023年2月2日,2023年2月9日,2023年2月9日,2023年3月1日,2029年2月28日,,"熊本県/熊本市/東区/画図町/重富/８１９番地","130.73239","32.75803","5","7"
7845,飲食店営業,王ちゃん亭,熊本市中央区水前寺6丁目2-19,381-2489,太原　澄子,,,2023年2月2日,2023年2月7日,2023年2月7日,2023年3月1日,2029年2月28日,,"熊本県/熊本市/中央区/水前寺/六丁目/２番/１９号","130.73892","32.78931","5","8"
7846,飲食店営業,Ｖａｎ−Ｓｕｎ　ヴぁんさん,熊本市中央区黒髪2丁目34-5,346-2185,平野　司朗,,,2023年2月2日,2023年2月8日,2023年2月8日,2023年3月1日,2029年2月28日,,"熊本県/熊本市/中央区/黒髪/二丁目/３４番/５号","130.72466","32.81393","5","8"
7847,飲食店営業,ゆめマート　近見（そうざい）,熊本市南区近見1丁目3-5,359-7575,㈱ゆめマート熊本,藤木　淳,熊本市東区上南部2丁目2-2,2023年2月3日,2023年2月20日,2023年2月20日,2023年3月1日,2030年2月28日,,"熊本県/熊本市/南区/近見/一丁目/３番/５号","130.69228","32.76851","5","8"
7848,飲食店営業,ゆめマート　新外,熊本市東区新外2丁目6-6,214-7711,㈱ゆめマート熊本,藤木　淳,熊本市東区上南部2丁目2-2,2023年2月3日,2023年2月20日,2023年2月20日,2023年3月1日,2029年2月28日,,"熊本県/熊本市/東区/新外/二丁目/６番","130.76974","32.80157","5","7"
7849,飲食店営業,モナコパレス熊本浜線店,熊本市南区田迎3丁目10-1,370-2770,㈱夢創作,小池　勝利,福岡県福岡市中央区清川1丁目7-12大戸ビル6F,2023年2月3日,2023年2月8日,2023年2月8日,2023年3月1日,2029年2月28日,,"熊本県/熊本市/南区/田迎/三丁目/１０番/１号","130.71565","32.77868","5","8"
7850,飲食店営業,銀杏寿し,熊本市中央区白山1丁目9-7,362-9082,㈲銀杏寿し,山本　日出夫,熊本市中央区白山1丁目6番20号,2023年2月3日,2023年3月3日,2023年3月3日,2023年3月3日,2029年5月31日,,"熊本県/熊本市/中央区/白山/一丁目/９番/７号","130.71953","32.79167","5","8"
7851,飲食店営業,焼とり　金た郎,熊本市中央区下通1丁目12-3高津ビルB1,322-9374,㈲カワカミ,川上　光一,熊本市中央区萩原町7-50,2023年2月3日,2023年2月10日,2023年2月10日,2023年3月1日,2029年2月28日,,"熊本県/熊本市/中央区/下通/一丁目/１２番/３号","130.70840","32.80008","5","8"
7852,飲食店営業,ビストロ　イング,熊本市西区上代10丁目8-37,329-2008,清田　竜馬,,,2023年2月3日,2023年2月9日,2023年2月9日,2023年3月1日,2029年2月28日,,"熊本県/熊本市/西区/上代/十丁目/８番/３７号","130.65875","32.77800","5","8"
7853,飲食店営業,三村　熊本銀座通り店,熊本市中央区下通1丁目9-4宇都宮ビル1F,321-6107,㈱大庄,平　了寿,東京都大田区大森北一丁目22-1,2023年2月3日,2023年2月3日,2023年2月3日,2023年3月1日,2029年2月28日,,"熊本県/熊本市/中央区/下通/一丁目/９番/４号","130.70740","32.80084","5","8"
7854,飲食店営業,矢部野ファーム,熊本市中央区新町4丁目1-9-2F,,㈱ＩＤＥＡ　ＧＲＥＥＮ,橋口　秀作,熊本市中央区新町四丁目1番9号,2023年2月6日,2023年2月8日,2023年2月8日,2023年2月8日,2029年2月28日,,"熊本県/熊本市/中央区/新町/四丁目/１番/９号","130.69685","32.80103","5","8"
7855,飲食店営業,スナック　くわちょの店,熊本市中央区新市街1-2フジモトビルB1,356-6105,桑原　宏典,,,2023年2月6日,2023年2月8日,2023年2月8日,2023年3月1日,2029年2月28日,,"熊本県/熊本市/中央区/新市街/１番/２号","130.70560","32.80016","5","8"
7856,飲食店営業,焼肉　てっぺん,熊本市北区植木町植木114-3,288-1713,井上　智之,,,2023年2月6日,2023年2月9日,2023年2月9日,2023年2月9日,2029年2月28日,,"熊本県/熊本市/北区/植木町植木/１１４番地","130.69206","32.90368","5","7"
7857,飲食店営業,株式会社田吾作,熊本市西区花園1丁目15-3,353-4171,㈱田吾作,北山　高志,熊本市西区花園1丁目15-3,2023年2月6日,2023年2月13日,2023年2月13日,2023年3月1日,2029年2月28日,,"熊本県/熊本市/西区/花園/一丁目/１５番/３号","130.69656","32.81389","5","8"
7858,飲食店営業,キッチンママ,熊本市東区小山5丁目1-94,,中川　瑞恵,,熊本市東区小山5丁目1-94,2023年2月6日,2023年2月16日,2023年2月16日,2023年3月1日,2029年2月28日,,"熊本県/熊本市/東区/小山/五丁目/１番/９４号","130.79071","32.83031","5","8"
7859,飲食店営業,ほっともっと平成さくら通り店,熊本市南区江越2丁目16-1,356-0039,コウキ合同会社,中村　裕規,熊本県上益城郡益城町島田188番地2,2023年2月7日,2023年2月8日,2023年2月8日,2023年2月8日,2029年2月28日,,"熊本県/熊本市/南区/江越/二丁目/１６番/１号","130.70084","32.77439","5","8"
7860,飲食店営業,三笠うどん　ゆめタウンサンピアン店,熊本市東区上南部2丁目2-2,,三陽フードクリエイト㈱,木下　修,熊本市中央区九品寺三丁目9番16号,2023年2月7日,2023年3月2日,2023年3月2日,2023年3月2日,2029年5月31日,,"熊本県/熊本市/東区/上南部/二丁目/２番/２号","130.76350","32.82604","5","8"
7861,飲食店営業,ウインズ,熊本市中央区新市街1-3ホクショウビルB1,352-1987,㈱リーディング,安藝　由美子,熊本市中央区草葉町2-28-702,2023年2月7日,2023年2月22日,2023年2月22日,2023年3月1日,2029年2月28日,,"熊本県/熊本市/中央区/新市街/１番/３号","130.70570","32.80015","5","8"
7862,飲食店営業,オーデンハム・ファクトリー上熊本駅店,熊本市西区上熊本2丁目18-1,326-8615,㈱オーデン,村山　直志,熊本市南区馬渡一丁目1番24号,2023年2月7日,2023年2月13日,2023年2月13日,2023年2月13日,2029年2月28日,,"熊本県/熊本市/西区/上熊本/二丁目/１８番/１号","130.69968","32.81822","5","8"
7863,飲食店営業,バラティエ,熊本市中央区下通1丁目5-20ピュアゴールドビル3F-1,,豊田　聖人,,,2023年2月7日,2023年2月8日,2023年2月8日,2023年2月8日,2029年2月28日,,"熊本県/熊本市/中央区/下通/一丁目/５番/２０号","130.70786","32.80135","5","8"
